rating,reviewContent
5.0,brg ok fast
5.0,the item works fast delivery jakarta
5.0,"the goods are good, original, the bonus is safe, the product is used for a week, okay, a recommendation"
5.0,ga save pdf file
5.0,packing neatly according to the sending limit open the item according to the smooth description complete bonus refer to this good job shopping bro
5.0,great sip
5.0,"I hope the benefits of liking pink are nice, packing neatly"
5.0,good
5.0,nice product
5.0,fast delivery of goods according to the neat gold picture
5.0,thank you for receiving
5.0,how many times have I bought a flash memory card olshop original hologram stuff fast cheap buy a camera shop neat packaging safe order times order july date july house
5.0,original item
5.0,top markotop
5.0,siiippp
5.0,"overall it's good, the usb doesn't work, I've tried fd the cellphone, it still doesn't work"
5.0,toshiba tb hitam gratis usb toshiba gb pouch harddisk usb otg reader android nice
5.0,goods have received conditions
5.0,good stuff i received
5.0,mantuulll
5.0,item fast response selling ok try wifi tcast kq or not pairing
5.0,"good quality, neat packaging, safe when the hard drive shakes hard, precision"
5.0,thanks tnx
5.0,"I'm sorry, please suggest the appropriate item"
5.0,package received slow delivery thanks lazada
5.0,"good, may it last"
5.0,Wrap the package neatly review it again after use
5.0,good
5.0,picture of joss sound using thanks toshiba
5.0,nice original gift
5.0,measure the capacity of gb so much
5.0,the item is fast according to the order tq lazada
5.0,the message matches the picture the message is black red
5.0,"the goods are ok, the delivery is also fast, but there is no mouse bonus"
5.0,"good stuff, just a bonus, it doesn't pull or doesn't use it"
5.0,cooperative seller to send lex by sending an appointment
5.0,good
5.0,great joss guarantee quality
5.0,full bonus function zeb order thursday friday via cod
5.0,"HDD case is good, close the hard disk breather hole tightly"
5.0,"I'm very satisfied, sending it on schedule, good stuff, packing neatly, playing games, it's really good, hihii, it's cheap, Tenkyu Lazada"
5.0,as expected
5.0,flashdisk sandisk ok really bonus thank you
5.0,purchase
5.0,fast delivery capacity according to the title
5.0,"the quality of the goods received is good, the transfer power is small, I have to force it in, over all is good"
5.0,"The item arrived really fast, I know I need this HDD backup"
5.0,good
5.0,original good item neat packing no regrets buying thx lazada seller
5.0,"Plug in the cellphone, it doesn't read, luckily the laptop is pretty good"
5.0,"a unique product, also a transparent hard disk, easy and durable"
5.0,"it's good, I'm really satisfied, I've tried USB on my cell phone, thanks, Lazada seller"
5.0,top cheap complete package
5.0,item received fast neat item really top
5.0,highly recommended
5.0,work to buy
5.0,sip
5.0,good item received great
5.0,fill in gb order success k m lazada thank you mas friendly courier
5.0,good thin light minimal branding body brand performance price jt sharp bright screen p dgpu nvidia gt mx laptop rarely dgpu vga backlit keyboard white light responsive touchpad lose touchpad macbook charge pretty fast webcam bright fan cold hard to hear bad sound battery lasts until ad hours screen clock glossy light reflectors like matte doff backlit keyboard set brightness level bright usb port minimal cmn x use heavy heat programs even on a table
5.0,"good, may it last"
5.0,sip thanks lazada
5.0,good quality fast delivery
5.0,good stuff
5.0,greatp
5.0,"great, packing in layers of cardboard, try to function smoothly, thanks"
5.0,packing goods ok bonus pouch measuring hard drive
5.0,item ok neat packing fast friendly courier
5.0,"good item according to the picture, not defective, neatly packaged, recommended seller, sent it well, yesterday ordered the goods"
5.0,"mantul, bro, fast delivery, safe packing, competitive price function, definitely ready to accept josss warranty"
5.0,nicessss thanks a lot
5.0,"fasting according to the picture, thank lazada mamas culinary a"
5.0,item already thank you lazada
5.0,"good product, according to the description, the packing is also good, fast delivery, functional goods, thanks seller"
5.0,"packing is good, the product is trying to run smoothly, try it, just send it outside the estimated estimate of paying for the place"
5.0,"ok, the item has been received to save the Luna Maya video"
5.0,"the hard drive is cool, original, good seller"
5.0,"The external HDD bag is loose, the external HDD shook the bag"
5.0,good stuff
5.0,okay stuff
5.0,"alhamdulillah, the item has been safely delivered, salute to lazada, on time, no need to wait for the item to arrive, thank you"
5.0,Good quality item according to the picture
5.0,as expected
5.0,bagussssssssssssssssssssssszz
5.0,"really good, well recommended"
5.0,"sent pretty fast, I thought it was cheap free function stuff"
5.0,"according to the picture, good"
5.0,"the condition of the goods is good, the delivery is super fast, I pay tomorrow evening, the goods arrive at the recommended"
5.0,solid
5.0,steady bro go ahead
5.0,good quality item
