rating,reviewContent
1,kako don't use all the gb just delete it automatically
1,I don't save data like a used flash drive that's disappointed with Lazada shopping
1,rotten
1,"the item used doesn't save the video, the song, the apk file, the error doesn't bother"
1,goods
1,the item was received according to disappointment because the promo price from the marketplace so id serang promo bonus free brecket shockkkkkkkkk even though I subscribed to lazada from before
1,I can't get a sales invoice receipt book
1,steady durable
1,"use the flashdisk, fill in the data, the file is corrupted, the fd is gb"
1,access files
1,order received brand picture according to please clear
1,yesterday I chat safely from chat don't use wooden packing yes say I can pay extra
1,order online lazada hope the goods are fast eh now the goods you know are so good to buy the shop just slow really serve y
1,"Items opened on April, May were damaged, really disappointed, are they back?"
1,"I've been waiting for weeks for the order to be canceled because the goods are not complicated with money, we are waiting"
1,"Disappointed, Lazada, good service, lost to the stalls splitting the sharp TV bracket on Tuesday, July to Friday, the date the item hasn't arrived yet, the bracket has arrived on July, check the receipt no, then call cs, lazada, call in the morning, ask for the process of sending my brg on August, check the receipt no, jne canceled cs goods in the process of being sent until the day of August actually check jne cancel by shpper nach buy tv watch tv watch bracket bro hadeeuhh cancel the tv throw it away wait until sunday send it"
1,not good stuff
1,Fragile items shake not detect computer
1,"I can't plug in my cellphone, I'm not disappointed, it just looks good"
1,"Sunday, I ordered a laptop via bank installment, I didn't enter the order for the goods according to the instructions, please what is the solution"
1,disappointed with the flash is not appropriate
1,can't use black if it's crooked
1,broken panels
1,buy tv send stove include lazada care order qc eye or not
1,how did the item arrive right when I tried it didn't detect a different device
1,thanks lazada brg a fast courier a friendly mantul
1,let the stars speak
1,"The transfer fee for the week didn't come, the notification of receiving the goods came, wow, that's bad"
1,good stuff in save data lost
1,flash disk doesn't work cuy
1,pake fd
1,"Disappointed, the wrong address for the transaction was immediately canceled, I gave the clock before the process, I'm sorry for people if the address is wrong"
1,bracket does not fit the ad
1,item badly damaged tv screen broken
1,"I really regret buying this laptop, just installing the software is too late, I don't recommend buying it, I'm sorry"
1,"I haven't received the item, the status comment has been completed, what's the intention to sell or not return it, I'm sorry"
1,really disappointed to buy gb writing stalls check mb
1,"suitable bonus, please do a good job"
1,"I don't trust sending buckles, eh, all of them are really disappointed"
1,"I ordered from December, Kupang goods, January was bad, I bought inc Dayang Minggu, I bought it very badly, thanks, the goods are safe, Kupang, I gave a star, thanks"
1,package received courier kampret playing handing over goods sign receiving goods how to please follow up fast
1,item not used save picture
1,why don't you cancel coeg
1,product pull dear product packing product sent from China function
1,junk
1,"Please be disappointed to receive the goods on December, the status of sending the date of the consumer is disappointed"
1,wall install ad lazada install a thank you
1,"connect it, install it, come in, why?"
1,penny micro sd sandisk gb fruit flash toshiba gb fruit comes flash
1,very disappointed brg fake follow-up deception
1,"thanks, coocaa, the promo is according to the promise, buy a smart tv, coocaa, free tv, coocaa, free tv, the goods received, the goods returned, just disappointed"
1,"the item is totally destroyed or not, bro, lazada bubble plastic, but great, the refund money is intact"
1,"Yes, estimated until Wednesday or Thursday Sunday, the receipt number was sent incorrectly, aka I couldn't find the check, it was quite disappointed, please help the seller, cancel the order, money, buy a stall"
1,"disappointed to measure the flash when plugging in the USB, it's hard to plug in and unplug"
1,bought really bad stuff until a week the reason it didn't bother etc
1,g bisa simpan download video
1,"I was disappointed that I received the order the same day, but I did not contact the store courier"
1,disappointed flashdisk damaged
1,"The large capacity fd doesn't accommodate the copy fd file files, it's gone, I've tried it, it's still an error, I'm waiting for the item to arrive, you know, the error item is very disappointed"
1,"don't you buy the one you don't use, copy it, save the file, protect it, how do you write a protection for the product, even if it's protected, give a review, open the protection, lazada share, how can I be lazy to shop at lazada"
1,gar screen try to claim warranty
1,disappointed not to use the flash
1,"the netbook doesn't have an application installed, what's weird, it's junk when it's sent"
1,item received lazada said sidah received check jne lhoksukon north aceh goods tigas unfriendly not solusk email cs jne cs lazada didn't respond rice goods price jt an
1,the price of the laptop is really the price or not
1,pas flash disk ujung ny c i phone
1,yes it's clear this tv
1,flash drive can not be used
1,"I'm really disappointed, the main thing is to send a GB message, send me when I check, write only the original GB, it's really bad, once the mode"
1,don't save data lost
1,in the product box meet regarding the lightning warranty read the warranty paper due to lightning reasons enter lazada advertising warranty buy pampang products products belonging to antenna booster receive home installation features booster antenna plus results of images of led tv tends to lcd tv accept goods pay receipt pay courier ninjavan he brings proof of receipt buy tv products in basic service servicing sharp service center warranty card stamp receipt blank write different products sharp aquos lc le i le i tt black try carefully lazada different prices different products le i tt black product buy led tv lcd tv results rough image spots please clarify lazada
1,buy tv broken warranty or not
1,don't buy dpke
1,"USB doesn't enter, data is lost asuuu"
1,"I don't recommend buying goods, I'm disappointed"
1,delivery goods broken difficult warranty claims no
1,function item
1,"The flash drive is damaged, thank you, disappointed"
1,don't read
